#sl_no Z X M L T_eff
208 0.013 0.71847 2.01356 49.36514 6843.12744
209 0.013 0.71847 2.43218 121.35157 5990.00244
210 0.013 0.71847 2.25452 118.82016 4278.11279
211 0.013 0.71847 2.72324 292.08896 5262.48779
212 0.013 0.71847 2.19154 55.31703 6230.45654
213 0.013 0.71847 2.74908 334.27884 6361.70654
214 0.013 0.71847 2.59764 148.78063 6722.64404
215 0.013 0.71847 2.97887 238.57477 6107.40967
216 0.013 0.71847 2.53702 208.46385 7370.69092
217 0.013 0.71847 2.95086 428.08574 5008.19092
218 0.013 0.71847 2.02249 70.84036 5401.94092
219 0.013 0.71847 2.44297 84.80193 6386.31592
220 0.013 0.71847 2.64092 246.75897 4216.58936
221 0.013 0.71847 2.35796 143.84605 5332.21436
222 0.013 0.71847 2.04651 80.16627 3937.68311
223 0.013 0.71847 2.71682 125.69101 7776.74561
224 0.013 0.71847 2.50725 89.70566 5684.94873
225 0.013 0.71847 2.17608 102.66291 7440.41748
226 0.013 0.71847 2.83477 176.11185 6324.79248
227 0.013 0.71847 2.88882 134.46247 4848.22998
228 0.013 0.71847 2.13788 130.73565 6913.3667
229 0.013 0.71847 2.78501 224.26889 7897.7417
230 0.013 0.71847 2.55807 114.23529 4107.89795
231 0.013 0.71847 2.24126 72.85977 4665.71045
232 0.013 0.71847 2.59457 160.06068 5789.53857
233 0.013 0.71847 2.06837 54.39195 8020.78857
234 0.013 0.71847 2.31658 93.30602 4805.16357
235 0.013 0.71847 2.40009 107.99067 7967.46826
236 0.013 0.71847 2.87182 135.22048 5161.99951
237 0.013 0.71847 2.08307 103.24166 6572.93701
238 0.013 0.71847 2.92658 177.10466 7688.56201
239 0.013 0.71847 2.65029 96.50684 7253.79639
240 0.013 0.71847 2.36633 165.55149 6138.17139
241 0.013 0.71847 2.21495 77.07293 5859.26514
242 0.013 0.71847 2.67544 189.46407 4743.64014
243 0.013 0.71847 2.13158 63.84321 5983.3374
244 0.013 0.71847 2.62383 119.82633 5425.5249
245 0.013 0.71847 2.23465 150.0405 7705.99365
246 0.013 0.71847 2.69924 257.38516 6590.36865
247 0.013 0.71847 2.51466 183.69576 4482.16553
248 0.013 0.71847 2.92485 377.22383 6844.66553
249 0.013 0.71847 2.00466 62.42364 6713.41553
250 0.013 0.71847 2.42144 107.08389 5597.79053
251 0.013 0.71847 2.06227 112.00963 4728.25928
252 0.013 0.71847 2.89736 275.34701 5843.88428
253 0.013 0.71847 2.74422 141.8386 4371.42334
254 0.013 0.71847 2.08676 50.41685 5667.51709
255 0.013 0.71847 2.33718 123.93692 6651.89209
256 0.013 0.71847 2.15689 88.45376 4543.68896
257 0.013 0.71847 2.80978 217.44094 5528.06396
258 0.013 0.71847 2.53253 101.23019 6463.22021
259 0.013 0.71847 2.43865 173.65411 7447.59521
260 0.013 0.71847 2.48222 128.91116 8040.271
261 0.013 0.71847 2.25852 57.3757 7548.0835
262 0.013 0.71847 2.8331 346.71931 7154.3335
263 0.013 0.71847 2.19543 112.64107 5070.73975
264 0.013 0.71847 2.85998 276.89925 3955.11475
265 0.013 0.71847 2.66441 197.62296 6063.31787
266 0.013 0.71847 2.12404 67.1564 4094.56787
267 0.013 0.71847 2.37893 80.39192 7178.94287
268 0.013 0.71847 2.22675 157.82695 4832.84912
269 0.013 0.71847 2.09912 83.14973 5247.10693
270 0.013 0.71847 2.35102 69.46017 6493.98193
271 0.013 0.71847 2.94912 204.40233 4262.73193
272 0.013 0.71847 2.55958 233.92659 5001.01318
273 0.013 0.71847 2.04048 38.71057 7232.26318
274 0.013 0.71847 2.4647 136.36553 4016.63818
275 0.013 0.71847 2.27457 97.32406 6124.84131
276 0.013 0.71847 2.74746 166.95338 7109.21631
277 0.013 0.71847 2.16966 49.57371 4402.18506
278 0.013 0.71847 2.12922 48.69333 7844.80591
279 0.013 0.71847 2.34011 187.67524 6368.24341
280 0.013 0.71847 2.23218 95.59567 5629.96216
281 0.013 0.71847 2.69625 163.98844 4645.58716
282 0.013 0.71847 2.51188 240.34155 6753.79028
283 0.013 0.71847 2.00245 39.77213 4522.54028
284 0.013 0.71847 2.41876 140.10507 7738.16528
285 0.013 0.71847 2.05999 85.42994 6999.88403
286 0.013 0.71847 2.3072 71.36497 5753.00903
287 0.013 0.71847 2.89416 210.00765 7984.25903
288 0.013 0.71847 2.26938 155.02408 7414.14185
289 0.013 0.71847 2.61475 194.11336 5691.4856
290 0.013 0.71847 2.08446 65.96376 7660.2356
291 0.013 0.71847 2.33459 78.96423 4575.8606
292 0.013 0.71847 2.15451 115.73002 6684.06372
293 0.013 0.71847 2.80667 284.49265 7799.68872
294 0.013 0.71847 2.52973 132.44629 4206.71997
295 0.013 0.71847 2.21642 58.94912 4698.90747
296 0.013 0.71847 2.78029 356.22738 4567.65747
297 0.013 0.71847 2.48533 98.32077 5783.77075
298 0.013 0.71847 2.39319 168.66317 4799.39575
299 0.013 0.71847 2.19818 85.91154 7211.1145
300 0.013 0.71847 2.86357 211.19154 6226.7395
301 0.013 0.71847 2.66775 309.52244 4118.53638
302 0.013 0.71847 2.12671 51.2203 6087.28638
